"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中率" -> "Skill Accuracy"
"スキル会心率" -> "Skill Concentration"
"自動戦闘不可" -> "No automatic combat"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"は刃に炎を宿し、剣を一閃した！" -> "He has a flame on his blade and bladed his sword!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"は刃に氷を宿し、剣を一閃した！" -> "I caught ice in the blade and made the sword blush!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"は刃に雷を宿し、剣を一閃した！" -> "He has thunder in the blade and bladed his sword!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"は竜をも屠る渾身の一撃を繰り出した！" -> "He delivered a stroke of whole body to slash dragons too!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"の剣閃で車輪のような衝撃波が無数に発生した！" -> "There were countless shock waves like wheels with sword of the sword!"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"　Target" -> "Target"
"暗黒の力を刃に込めた必滅の奥義" -> "The everlasting mystery that puts the power of darkness in the blade"
"は必滅の斬撃を放った！" -> "He delivered a killing slash!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"消費HP 10" -> "Consumption HP 10"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"魔力を込めて敵を切り裂く、エルフ族秘伝の必殺奥義" -> "Slash enemies with magical powers, Elven secret secret mortuary mystery"
"はエルフ族の必殺剣を繰り出した！" -> "He delivered Elves' s Hissatsu Sword!"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"　Target" -> "Target"
"風の魔力を剣に込め、疾風迅雷の足運びで突きを繰り出す奥義" -> "Magical power of wind is included in the sword, and mystery"
"の動きに風が宿り、疾風の剣閃が繰り出された！" -> "The wind blew up in the movement of, and the gale 's sword flash was rolled out!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"森羅剣・乱雹" -> "Morara sword · Cunnilingus"
"吹き荒れる霙（みぞれ）の中、敵を乱れ斬る剣技" -> "Sword technique which disrupts the enemy and dislikes in the blowing 霙 (sleet)"
"は霙の中で敵を乱れ斬る！" -> "I will slash and slash the enemies in my head!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"全ての敵に死をもたらす必殺の対集団用剣技" -> "Killing a sword technique for a group against a group that brings death to all enemies"
"は必殺の刃で敵を撫で斬った！" -> "He strangled the enemy with a deadly blade!"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"魔影流星斬" -> "Makoto Ryusei Knife"
"流星のような斬撃の嵐で敵を滅ぼす闇の奥義" -> "The mystery of the dark which destroys enemies with a storm of slash like a meteor shower"
"は流星のような斬撃を繰り出した！" -> "He delivered a slash like meteor!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"消費HP 10" -> "Consumption HP 10"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"三属性の魔力を刃に込め、敵を一閃する破壊奥義" -> "Magical powers of three attributes are put in the blade, the enemies are destroyed"
"は三属性の力を込めた刃を一閃させた！" -> "I blushed the blade with the power of three attributes!"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"ダミー" -> "dummy"
"月の下、相手の命を花と散らす奥義" -> "Under the moon, the mystery of scattering the opponent's life with flowers"
"は月の下、華散らす刃を繰り出した！" -> "I unleashed a scattering blade under the moon!"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"魔刃・雪時雨" -> "Devil's blades and rain showers"
"舞い散る雪時雨の中、敵を切り裂く奥義" -> "Dancing In the snow and rain, the mystery of dissecting enemies"
"は舞い散る雪時雨の下で敵を斬った！" -> "I slashed enemies under the snow and rain falling down!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"皇竜九炎陣" -> "Emperor Ninja Flame Team"
"敵単体に炎の斬撃を集中する、竜族の必殺奥義" -> "Fierce killing mystery of concentrating fire slash on enemy unit"
"は刃に炎を宿し、竜族の秘奥義を繰り出した！" -> "Had a flame on the blade, we rolled out the secret mystery of the dragon tribe!"
"攻撃属性 1" -> "Attack Attribute 1"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"剣を通じて魔物を滅ぼすオーラを立ち昇らせる奥義" -> "Mystery to rise up an aura that destroys monsters through a sword"
"は聖なる波動を込めた刃を放った！" -> "He released a blade with holy wave!"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"防御壁無効化" -> "Defensive wall invalidation"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"武器倍率 1" -> "Weapon magnification 1"
"自動戦闘不可" -> "No automatic combat"
"武器倍率 1" -> "Weapon magnification 1"
"自動戦闘不可" -> "No automatic combat"
"大奇跡の剣" -> "Miraculous sword"
"奇跡の力を込めた剣を掲げ、味方全体の体力を大きく回復する技" -> "A sword that holds the sword that contains the power of miracles, a technique to greatly restore the physical strength of all the ally"
"は大奇跡の剣を掲げた！" -> "He raised a miracle sword!"
"武器倍率 1" -> "Weapon magnification 1"
"自動戦闘不可" -> "No automatic combat"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中補正率" -> "Skill hit correction ratio"
"神業のサーベルさばきで敵単体に六連撃を仕掛ける" -> "A six-shot attack is launched on an enemy unit by a saber judgment of the supernatural industry"
"は疾風のような六連撃を繰り出した！" -> "He delivered six shots like a gale!"
"武器倍率 1" -> "Weapon magnification 1"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"魔力を帯びた刃でV字に斬り付け、敵を炎上させる特殊な尖剣奥義" -> "A special sword mystery to slash a V character with a magical blades and make the enemy flame up"
"はV字の剣閃で敵を発火させた！" -> "He ignited the enemy with a V character sword!"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"力と魔力を融合させ、敵を蜂の巣にする尖剣奥義" -> "Sharp mystery that combines power and magical power and makes enemies beehives"
"は魔力の剣先で、敵全体に突きを繰り出した！" -> "It was a magical point of attack, and poked out the enemy as a whole!"
"武器倍率 1" -> "Weapon magnification 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"炎の魔力を帯びた刃で敵全体を十字に切り裂く尖剣奥義" -> "Shuriken mystery that cuts enemies as a cross with fire blazing blades"
"は刃に炎を込め、十字斬を放った！" -> "Had a flame in the blade and released a crosshair!"
"武器倍率 1" -> "Weapon magnification 1"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"ダミー" -> "dummy"
"自動戦闘不可" -> "No automatic combat"
"峰で敵を殴打し、気絶に至らせる刀技" -> "A sword technique that strikes an enemy at the peak and causes it to faint"
"は峰で殴打した！" -> "He beat at the peak!"
"武器倍率 2" -> "Weapon magnification 2"
"スキル命中補正率" -> "Skill hit correction ratio"
"軽やかな刀さばきで三連撃を繰り出す技" -> "Technique to pull out three consecutive shots with a light sword judgment"
"は三連斬を繰り出した！" -> "He delivered a triple sword!"
"武器倍率 2" -> "Weapon magnification 2"
"敵単体連続" -> "Enemy unit continuous"
"重複アニメ無効" -> "Duplicate animation invalid"
"スキル命中補正率" -> "Skill hit correction ratio"
"いったん刀を鞘に収め、一撃で撫で斬りにする居合い技" -> "Once you put the sword in the sheath, stroke it with a single strike technique"
"は剣を鞘に納め、居合いを放った！" -> "She paid the sword to the sheath and let out the association!"
"武器倍率 2" -> "Weapon magnification 2"
"スキル命中補正率" -> "Skill hit correction ratio"
"強靱な体のバネを用いて繰り出す必殺の突き技" -> "Hissatsu killing technique using a tough body spring"
"は一気に踏み込んでの突きを繰り出した！" -> "I stepped in at a stretch and pull out the thrust!"
"武器倍率 2" -> "Weapon magnification 2"
"スキル命中補正率" -> "Skill hit correction ratio"
"炎を伴う居合い抜きで、敵一体を斬る刀技" -> "A sword technique to slash the enemy one by one without flames"
"は剣を鞘に納め、炎の居合いを放った！" -> "She paid the sword to the sheath and let out the flame's association!"
"武器倍率 2" -> "Weapon magnification 2"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"氷を伴う居合い抜きで、敵一体を斬る刀技" -> "Sword technique to slash unity with enemy without accompanying with ice"
"は剣を鞘に納め、氷の居合いを放った！" -> "She paid the sword to the sheath and let out the ice cup!"
"武器倍率 2" -> "Weapon magnification 2"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中補正率" -> "Skill hit correction ratio"
"雷を伴う居合い抜きで、敵一体を斬る刀技" -> "Sword technique to slash unity with enemy without lightning involvement"
"は剣を鞘に納め、雷の居合いを放った！" -> "She paid the sword to the sheath and released the thunderous threat!"
